Plant_ID,Site,Time,Date,Replicate,Family,Genus,Species,Unique_ID,drying,etc,sex,nativity
120,DT3,16:29,2025-07-02,4,Apidae,Bombus,impatiens,,,,f,1
42,DP3,11:11,2025-07-02,4,Colletidae,Hylaeus,punctatus,,,,m,0
42,DP3,11:30,2025-07-02,4,Colletidae,Hylaeus,punctatus,,,1st,f,1
104,DT1,12:26,2025-07-02,4,Colletidae,Hylaeus,punctatus,,,,f,0
42,WT3,12:23,2025-07-03,4,Megachilidae,Megachile,brevis,,,,f,1
42,WT3,12:32,2025-07-03,4,Megachilidae,Megachile,brevis,,,,f,1
42,WT3,12:36,2025-07-03,4,Megachilidae,Megachile,brevis,,,,m,1
42,WP1,13:36,2025-07-03,4,Megachilidae,Megachile,brevis,,,1st,,1
42,WP1,13:36,2025-07-03,4,Megachilidae,Megachile,latimanus,,,2nd,m,1
42,WP1,13:38,2025-07-03,4,Megachilidae,Megachile,latimanus,,,,m,1
42,WP1,13:55,2025-07-03,4,Megachilidae,Megachile,latimanus,,,,m,1
111,GT3,13:57,2025-07-03,4,Megachilidae,Anthidium,manicatum,,,,m,0
42,GT3,13:59,2025-07-03,4,Megachilidae,Megachile,texana,,,,m,1
5,WT1,09:49,2025-07-03,4,Halictidae,Agapostemon,virescens,,,,f,1
5,WT1,10:09,2025-07-03,4,Halictidae,Augochlorella,aurata,,,,f,1
42,WT3,12:36,2025-07-03,4,Halictidae,Lasioglossum,Dialictus_spp,,,,m,1
42,WT3,12:38,2025-07-03,4,Halictidae,Augochlorella,aurata,,,,f,1
5,DP2,11:59,2025-07-04,4,Halictidae,Halictus,ligatus,,,,f,1
107,DT2,12:35,2025-07-04,4,Halictidae,Lasioglossum,Dialictus_spp,,,,m,1
107,DT2,12:41,2025-07-04,4,Halictidae,Halictus,confusus,,,,f,1
107,DT2,12:43,2025-07-04,4,Halictidae,Halictus,confusus,,,,f,1
107,DT2,12:46,2025-07-04,4,Halictidae,Halictus,confusus,,,,f,1
107,DT2,12:40,2025-07-04,4,Colletidae,Hylaeus,affinis,,,,f,1
42,DP2,11:30,2025-07-04,4,Apidae,Apis,mellifera,,,1st,f,0
42,DP2,11:30,2025-07-04,4,Apidae,Apis,mellifera,,,2nd,f,0
42,DP2,11:33,2025-07-04,4,Apidae,Bombus,griseocollis,,,,m,1
42,DP2,11:36,2025-07-04,4,Apidae,Apis,mellifera,,,,f,0
5,DP2,11:38,2025-07-04,4,Apidae,Apis,mellifera,,,1st,f,0
5,DP2,11:38,2025-07-04,4,Apidae,Bombus,rufocinctus,,,2nd,f,1
42,DP2,11:43,2025-07-04,4,Apidae,Apis,mellifera,,,,,0
5,DP2,11:44,2025-07-04,4,Apidae,Apis,mellifera,,,,f,0
42,DP2,11:44,2025-07-04,4,Apidae,Bombus,rufocinctus,,,2,f,1
42,DP2,11:49,2025-07-04,4,Apidae,Bombus,griseocollis,,,,f,1
42,DP2,12:22,2025-07-04,4,Apidae,Apis,mellifera,,,,f,0
42,DP2,12:25,2025-07-04,4,Apidae,Apis,mellifera,,,,f,0
107,DT2,12:50,2025-07-04,4,Apidae,Apis,mellifera,,,,f,0
42,DP2,11:49,2025-07-04,4,Apidae,Bombus,griseocollis,,,,f,1
42,GT1,9:51,2025-07-07,4,Apidae,Apis,mellifera,,,,f,0
42,GT1,9:59,2025-07-07,4,Apidae,Bombus,griseocollis,,,,,1
42,GT1,10:00,2025-07-07,4,Apidae,Bombus,griseocollis,,,,f,1
42,GT1,10:02,2025-07-07,4,Apidae,Bombus,griseocollis,,,,f,1
42,GT1,10:13,2025-07-07,4,Apidae,Bombus,griseocollis,,,,f,1
42,GT1,10:15,2025-07-07,4,Apidae,Bombus,griseocollis,,,,f,1
42,GT1,10:19,2025-07-07,4,Apidae,Bombus,griseocollis,,,,f,1
