Plant_ID,Site,Time,Date,Replicate,Family,Genus,Species,Unique_ID,drying,etc,sex,nativity
113,GT3,14:02,2025-07-08,4,Halictidae,Augochlorella ,,,,,,1
124,GT2,16:56,2025-07-08,4,Halictidae,Lasioglossum,imitatum,,,,,1
127,GN1,10:27,2025-07-09,4,Halictidae,Lasioglossum,,,,,,0
132,GP1,12:12,2025-07-09,4,Halictidae,Lasioglossum,,,,,,1
134,WT1,13:46,2025-07-10,5,Colletidae,Hylaeus,,,,,,0
134,WT1,13:50,2025-07-10,5,Colletidae,Hylaeus,,,,,,0
134,WT1,13:56,2025-07-10,5,Colletidae,Hylaeus,,,,,,0
134,WT1,13:57,2025-07-10,5,Colletidae,Hylaeus,,,,,,1
133,WT3,12:26,2025-07-10,5,Halictidae,Augochlorella,,,,,,1
133,WT3,12:24,2025-07-10,5,Halictidae,Halictus,,,,,,1
137,DP3,13:30,2025-07-11,5,Apidae,Apis,mellifera,,,,,0
42,GT3,13:03,2025-07-11,5,Megachilidae,Hoplitis ,truncata ,,,,,1
73,WP1,10:42,2025-07-11,5,Apidae,Bombus,griseocollis,,,,,1
5,WP1,10:45,2025-07-11,5,Apidae,Bombus,rufocintus,,,,,1
5,WP1,10:59,2025-07-11,5,Apidae,Apis,mellifera,,,,,0
5,WP1,10:59,2025-07-11,5,Apidae,Apis,mellifera,,,,,0
5,WP1,11:02,2025-07-11,5,Apidae,Bombus,rufocintus,,,,,1
13,WP1,11:10,2025-07-11,5,Apidae,Bombus,rufocintus,,,,,1
5,WP1,11:10,2025-07-11,5,Apidae,Bombus,,,,,,1
42,WP1,13:35,2025-07-11,5,Apidae,Apis,mellifera,,,,,0
42,WP1,13:41,2025-07-11,5,Apidae,Apis,mellifera,,,,,0
42,DP3,13:17,2025-07-11,5,Megachilidae,Megachile,,,,,,1
130,WP1,13:19,2025-07-11,5,Apidae,Bombus,,,,,,1
130,WP1,13:23,2025-07-11,5,Apidae,Bombus,,,,,,1
130,DP3,13:38,2025-07-11,5,Apidae,Bombus,,,,,,1
42,DP3,13:43,2025-07-11,5,Apidae,Apis,mellifera,,,,,0
42,DP3,13:44,2025-07-11,5,Apidae,Apis,mellifera,,,,,0
130,DP3,13:23,2025-07-11,5,Apidae,Bombus,,,,,,1
137,DP3,13:20,2025-07-11,5,Halictidae,Lasioglossum,,,,,,1
137,DP3,13:34,2025-07-11,5,Halictidae,Agapostemon,virescens,,,,,1
124,GT2,13:41,2025-07-12,5,Halictidae,Agapostemon,virescens,,,,,1
124,GT2,13:44,2025-07-12,5,Halictidae,Lasioglossum,imitatum,,,,,1
5*,GP1,15:11,2025-07-12,5,Halictidae,Lasioglossum,,,,,,1
124,GT2,12:29,2025-07-12,5,Apidae,Bombus,bimaculatus ,,,,,1
124,GT2,13:24,2025-07-12,5,Apidae,Bombus,impatiens,,,,,1
124,GT2,13:31,2025-07-12,5,Apidae,Ceratina,,,,,,1
124,GT2,13:39,2025-07-12,5,Apidae,Anthophora,terminalis,,,,,1
112,GT2,13:47,2025-07-12,5,Apidae,Melissodes,,,,,,1
124,GT2,13:50,2025-07-12,5,Apidae,Ceratina,,,,,,1
124,GT2,13:53,2025-07-12,5,Apidae,Ceratina,,,,,,1
124,GT2,13:29,2025-07-12,5,Apidae,Bombus,,,,,,1
5*,GP1,15:20,2025-07-12,5,Apidae,Apis,mellifera,,,,,0
134,GP1,15:06,2025-07-12,5,Colletidae,Hylaeus,,,,,,1
134,GP1,15:15,2025-07-12,5,Colletidae,Hylaeus,,,,,,1
134,GP1,15:18,2025-07-12,5,Colletidae,Hylaeus,,,,,,0
134,GP1,15:20,2025-07-12,5,Colletidae,Hylaeus,,,,,,1
134,GP1,14:58,2025-07-12,5,Colletidae,Hylaeus,,,,,,1
112,GT2,13:53,2025-07-12,5,Halictidae,Halictus,ligatus,,,,,1
5,GP1,15:11,2025-07-12,5,Halictidae,Lasioglossum,,,,,,1
5,GP1,15:16,2025-07-12,5,Megachilidae,Hariades,,,,,,
169,DP2,15:28,2025-07-15,5,Halictidae,Halictus,ligatus,,,,,1
94,DT2,10:24,2025-07-15,5,Apidae,Bombus,bimaculatus,,,,,1
94,DT2,10:24,2025-07-15,5,Apidae,Bombus,,,,,,1
94,DT2,10:34,2025-07-15,5,Apidae,Bombus,griseocollis,,,,,1
94,DT2,10:43,2025-07-15,5,Halictidae,Lasioglossum,,,,,,1
40,DT2,10:47,2025-07-15,5,Halictidae,Lasioglossum,,,,,,1
106,GT1,11:14,2025-07-16,5,Halictidae,Agapostemon,,,,,,1
5,GT1,11:19,2025-07-16,5,Halictidae,Lasioglossum,,,,,,0
13,GT1,11:41,2025-07-16,5,Halictidae,Lasioglossum,,,,,,
115,GT3,13:03,2025-07-16,5,Halictidae,Halictus,ligatus,,,,,1
115,GT3,13:11,2025-07-16,5,Halictidae,Lasioglossum,,,,,,1
115,GT3,13:13,2025-07-16,5,Halictidae,Halictus,confusus,,,,,1
115,GT3,13:16,2025-07-16,5,Halictidae,Lasioglossum,,,,,,1
115,GT3,12:56,2025-07-16,5,Apidae,Melissodes,,,,,,1
42,GT3,12:56,2025-07-16,5,Apidae,Apis,mellifera,,,,,0
42,GT3,12:56,2025-07-16,5,Megachilidae,Megachile,,,,2,,1
115,GT3,12:57,2025-07-16,5,Apidae,Melissodes,,,,,,1
42,GT3,12:59,2025-07-16,5,Apidae,Apis,mellifera,,,,,0
42,GT3,13:00,2025-07-16,5,Apidae,Apis,mellifera,,,,,0
115,GT3,13:00,2025-07-16,5,Apidae,Melissodes,,,,,,1
115,GT3,13:05,2025-07-16,5,Apidae,Melissodes,,,,,,1
115,GT3,13:09,2025-07-16,5,Apidae,Bombus,griseocollis,,,,,1
114,GT3,13:09,2025-07-16,5,Apidae,Bombus,griseocollis,,,,,1
42,GT3,13:10,2025-07-16,5,Apidae,Apis,mellifera,,,,,0
42,GT3,13:14,16-07-2025,5,Megachilidae ,Megachile ,,,,,,1
115,GT3,13:23,2025-07-16,5,Apidae,Melissodes,,,,,,1
42,GT3,13:22,2025-07-16,5,Apidae,Apis,mellifera,,,,,0
134,GT1,11:16,2025-07-16,5,Colletidae,Hylaeus,,,,,,1
115,GT3,13:06,2025-07-16,5,Colletidae,Hylaeus,,,,,,1
114,GT3,13:24,16-07-2025,5,Megachilidae ,Megachile ,,,,,,1
42,GT3,13:25,2025-07-16,5,Halictidae,Augochlorella ,,,,,,1
5,GT1,11:20,2025-07-16,5,Halictidae,Agapostemon,virescens,,,,,1
115,GT3,13:24,2025-07-16,5,Halictidae,Halictus,ligatus,,,,,1
115,GT3,13:03 1,2025-07-16,5,Halictidae,Halictus,ligatus,,,,,1
115,GT3,13:03,2025-07-16,5,Halictidae,Halictus,ligatus,,,,,1
115,GT3,13:08,2025-07-16,5,Halictidae,Halictus,ligatus,,,,,1
115,GT3,13:18,2025-07-16,5,Halictidae,Halictus,ligatus,,,,,1
115,GT3,13:17,2025-07-16,5,Halictidae,Halictus,confusus,,,,,1
115,GT3,13:13,2025-07-16,5,Halictidae,Halictus,confusus,,,,,1
42,GT3,13:20,2025-07-16,5,Megachilidae,Hoplitis ,truncata,,,,,1
124,DP2,13:03,2025-07-18,5,Halictidae,Lasioglossum,,,,,,1
?,DT2,11:35,2025-07-18,5,Halictidae,Augochlorella ,,,,,,1
122,DT2,11:59,2025-07-18,5,Halictidae,Augochlorella ,,,,,,1
?,DT2,12:00,2025-07-18,5,Halictidae,Augochlorella ,,,,,,1
124,DP2,13:04,2025-07-18,5,Apidae,Ceratina,,,,,,1
124,DP2,12:44,2025-07-18,5,Apidae,Bombus ,bimaculatus,,,,,1
122,DT2,11:46,2025-07-18,5,Apidae,Bombus,,,,,,1
122,DT2,11:34,2025-07-18,5,Apidae,Bombus,rufocintus,,,,,1
122,DT2,11:47,2025-07-18,5,Apidae,Apis,mellifera,,,,,0
122,DT2,11:47,2025-07-18,5,Apidae,Apis,mellifera,,,,,0
124,DP2,12:44,2025-07-18,5,Apidae,Bombus,griseocollis,,,,,1
124,DP2,12:45,2025-07-18,5,Apidae,Bombus,griseocollis,,,,,1
124,DP2,12:46,2025-07-18,5,Apidae,Bombus,griseocollis,,,,,1
124,DP2,12:47,2025-07-18,5,Apidae,Bombus,griseocollis,,,,,1
124,DP2,12:48,2025-07-18,5,Apidae,Bombus,griseocollis,,,,,1
124,DP2,12:48,2025-07-18,5,Apidae,Bombus,bimaculatus,,,,,1
124,DP2,12:49,2025-07-18,5,Apidae,Bombus,griseocollis,,,,,1
124,DP2,12:49,2025-07-18,5,Apidae,Bombus,griseocollis,,,,,1
124,DP2,12:51,2025-07-18,5,Apidae,Bombus,bimaculatus,,,,,1
