Site ,Date,Replicate,Species ID,# of Flowering Units
GT3,16/7/25,5,84,7
GT3,16/7/25,5,116,67
GT3,16/7/25,5,117,5
GT3,16/7/25,5,141,6
GT3,16/7/25,5,119,10
DN2,18/7/25,5,122,1
DN2,18/7/25,5,21,1
DT2,18/7/25,5,122,28
DT2,18/7/25,5,68,25
DT2,18/7/25,5,134,2
DP2,18/7/25,5,124,336
DT3,18/7/25,6,25,70
DT3,18/7/25,6,48,6
DT3,18/7/25,6,134,1
WT1,21/7/25,6,106,27
WT1,21/7/25,6,103,35
WT1,21/7/25,6,5,1
WT1,21/7/25,6,134,41
WN1,21/7/25,6,68,47
WN1,21/7/25,6,5,12
WN3,21/7/25,6,23,1
WN3,21/7/25,6,55,4
WN3,21/7/25,6,68,1
WP3,21/7/25,6,144,69
WP3,21/7/25,6,145,17
WP3,21/7/25,6,146,68
WP3,21/7/25,6,147,11
WP3,21/7/25,6,148,1
WP3,21/7/25,6,134,4
WP3,21/7/25,6,149,2
WP3,21/7/25,6,112,37
WP3,21/7/25,6,150,8
WP3,21/7/25,6,94,14
WP3,21/7/25,6,152,1
WP3,21/7/25,6,5,2
WT3,21/7/25,6,5,2
WT3,21/7/25,6,133,1
WT3,21/7/25,6,68,95
WT3,21/7/25,6,152,333
WT3,21/7/25,6,153,5
DT2,22/7/25,6,122,29
DT2,22/7/25,6,?P,52
DT2,22/7/25,6,68,49
DT2,22/7/25,6,134,4
DP2,22/7/25,6,124,252
DP2,22/7/25,6,P??,2
DT1,22/7/25,6,104,2
GN1,24/7/25,6,55,36
GN1,24/7/25,6,68,4
GN1,24/7/25,6,106,1
GT1,24/7/25,6,106,4
GT1,24/7/25,6,133,1
GT1,24/7/25,6,5,3
GT1,24/7/25,6,134,24
GP2,24/7/25,6,115,1
GP2,24/7/25,6,124,5
GP2,24/7/25,6,134,33
GP2,24/7/25,6,160,54
DP3,28/7/25,6,158,52
DP3,28/7/25,6,159,553
GT2,29/7/25,6,25,55
GT2,29/7/25,6,112,29
GT2,29/7/25,6,161,335
GT2,29/7/25,6,115,36
GT2,29/7/25,6,160,27
GT2,29/7/25,6,162,31
GT2,29/7/25,6,117,4
GN2,29/7/25,6,55,1
GN2,29/7/25,6,139,2
DT3,29/7/25,7,25,17
DT3,29/7/25,7,48,18
DT3,29/7/25,7,134,2
GT3,7/8/25,7,146,66
GT3,7/8/25,7,145,22
GT3,7/8/25,7,115,677
GT3,7/8/25,7,154,24
GT3,7/8/25,7,156,94
GP2,7/8/25,7,115,10
GP2,7/8/25,7,124,6
GP2,7/8/25,7,134,117
GP2,7/8/25,7,160,359
GP2,7/8/25,7,161,7
GT1,7/8/25,7,5,1
GT1,7/8/25,7,55,173
GT1,7/8/25,7,134,30
GN1,7/8/25,7,162,1
GN1,7/8/25,7,162,1
WT4,8/8/25,7,5,17
WT4,8/8/25,7,55,8
WT4,8/8/25,7,133,1
DP3,12/8/25,7,114,1774
DP3,12/8/25,7,163,339
DT1,12/8/25,7,104,2
GT2,15/8/25,7,115,23
GT2,15/8/25,7,164,30
GT2,15/8/25,7,165,1
GT2,15/8/25,7,166,5
GT2,15/8/25,7,167,81
GN2,15/8/25,7,23,5
GN2,15/8/25,7,168,5
DT2,15/8/25,7,22,3
DT2,15/8/25,7,55,7
DT2,15/8/25,7,102,49
DT2,15/8/25,7,134,108
DP2,15/8/25,7,171,279
DP2,15/8/25,7,170,20
DP2,15/8/25,7,169,173
DP2,15/8/25,7,124,8
WP3,18/8/25,7,155,23
WP3,18/8/25,7,172,5
WP3,18/8/25,7,173,3
WP3,18/8/25,7,174,176
WP3,18/8/25,7,164,8
WT3,18/8/25,7,175,167
WN3,18/8/25,7,23,3
WN3,18/8/25,7,55,16
DP3,21/8/25,8,114,65
DP3,21/8/25,8,169,170
DT1,21/8/25,8,160,21
DP2,21/8/25,8,169,148
DP2,21/8/25,8,170,85
DP2,21/8/25,8,134,134
DN2,21/8/25,8,68,2
DT2,21/8/25,8,22,5
DT2,21/8/25,8,55,21
DT2,21/8/25,8,68,3
DT2,21/8/25,8,103,2
DT2,21/8/25,8,134,36
DT2,21/8/25,8,171,19
WP3,22/8/25,8,146,6
WP3,22/8/25,8,172,77
WP3,22/8/25,8,176,131
WP3,22/8/25,8,177,3
WT3,22/8/25,8,28,250
WN4,22/8/25,8,55,6
WT4,22/8/25,8,5,16
WT4,22/8/25,8,68,3
DT3,22/8/25,8,25,9
DT3,22/8/25,8,48,5
DT3,22/8/25,8,178,5
DT3,22/8/25,8,179,3
DT3,22/8/25,8,112,2
GT2,27/8/25,8,160,44
GT2,27/8/25,8,165,81
GT2,27/8/25,8,171,4
GT2,27/8/25,8,180,4
GT2,27/8/25,8,181,68
GP3,27/8/25,8,174,250
GP3,27/8/25,8,160,15
GP3,27/8/25,8,134,17
GT3,27/8/25,8,94,182
GT3,27/8/25,8,115,13
GT3,27/8/25,8,146,15
GN1,27/8/25,8,55,12
GT1,27/8/25,8,160,16
